title_original,year,publication_type,doi,language,periodical_magazine_name,qualis,issn,isbn,book_title,start_page,end_page,publishing_company,publishing_company_city,authors_list,title_processed
"Epidemiological Outbreaks Of Dengue, Chikungunya And Zika From 2015 To 2019: Rio De Janeiro Case",2023,ARTICLE,10.53660/clm-2292-23r25,pt,Concilium (english Language Edition),A2,105236.0,,,,,,,"['Marcio Luis Valença Araújo', 'Hugo Saba Pereira Cardoso', 'Aloisio Santos Nascimento Filho']",epidemiological outbreak dengue chikungunya zika rio janeiro case
Saúde Pública: Prospecção Tecnológica Dos Registros De Softwares Para O Combate A Dengue,2022,ARTICLE,10.29327/265007.11.30-2,pt,International Journal Of Knowledge Engineering And Management,B1,23166517.0,,,,,,,"['Marcio Luis Valença Araújo', 'Hugo Saba Pereira Cardoso', 'Eduardo Manuel de Freitas Jorge', 'Aloisio Santos Nascimento Filho']",saude publico prospeccao tecnologico de o registro software combate dengue
A Proposal For The Integration Of The Energy Matrix From A Graph Theory Perspective,2022,ARTICLE,10.31686/ijier.vol10.iss3.3683,pt,International Journal For Innovation Education And Research,C,24112933.0,,,,,,,"['Marcio Luis Valença Araújo', 'Hugo Saba Pereira Cardoso', 'Toni Alex Reis Borges', 'Eduardo Manuel de Freitas Jorge', 'Aloisio Santos Nascimento Filho', 'Filipe Cardoso Brito']",proposal integration energy matrix graph theory perspective
Indicações Geográficas E Suas Contribuições Para As Políticas Públicas Regionais,2023,ARTICLE,10.7769/gesec.v14i9.2804,pt,Revista De Gestão E Secretariado,A4,21789010.0,,,,,,,['Marcio Luis Valença Araújo'],indicacoes geografica contribuicoe politico publica regional
Innovation Management And Port Governance,2022,ARTICLE,10.31686/ijier.vol10.iss1.3616,en,International Journal For Innovation Education And Research,C,24112933.0,,,,,,,['Marcio Luis Valença Araújo'],innovation management port governance
"Communication Of Epidemiological Data On Covid-19 In The State Of Bahia, Brazil",2022,ARTICLE,10.31686/ijier.vol10.iss9.3903,pt,International Journal For Innovation Education And Research,C,24112933.0,,,,,,,['Marcio Luis Valença Araújo'],communication epidemiological datum covid state bahia brazil
The Complex Networks Of An Entrepreneurship And Innovation Ecosystem: Proposal For A Representation Model,2024,ARTICLE,10.53660/CLM-3394-24I17,pt,Concilium (english Language Edition),A2,105236.0,,,,,,,"['Marcio Luis Valença Araújo', 'Hugo Saba Pereira Cardoso']",complex network entrepreneurship innovation ecosystem proposal representation model
"Cenário Do Grupo De Apoio Às Crianças Com Câncer (gaccba): Proposta De Um Ambiente Virtual Colaborativo Como Instrumento De Interação, Participação E Contribuição Para A Instituição",2020,ARTICLE,,pt,Revista Scientia,C,25254553.0,,,,,,,"['Marcio Luis Valença Araújo', 'Hugo Saba Pereira Cardoso']",cenario de o grupo apoio crianca cancer gaccba proposta ambiente virtual colaborativo instrumento interacao participacao contribuicao instituicao
Desafios Na Interação Entre Os Núcleos De Inovações Tecnológicas E O Setor Produtivo No Brasil: Reflexões Teóricas Sobre A Transferência De Tecnologia,2020,ARTICLE,10.9771/cp.v13i5.35320,pt,Cadernos De Prospecção,B2,23170026.0,,,,,,,['Marcio Luis Valença Araújo'],desafio em o interacao nucleo inovacoe tecnologico setor produtivo brasil reflexoes teorica sobre transferencia tecnologia
Maker Culture: Dissemination Of Knowledge And Development Of Skills And Competencies For The 21st Century,2023,ARTICLE,10.53660/clm-2322-23r38,pt,Concilium (english Language Edition),A2,105236.0,,,,,,,"['Marcio Luis Valença Araújo', 'Hugo Saba Pereira Cardoso', 'Eduardo Manuel de Freitas Jorge', 'Aloisio Santos Nascimento Filho']",maker culture dissemination knowledge development skill competency century
Programa De Ideias Inovadoras Do Ifba: Proposição De Melhorias Baseado Em Critérios De Avaliação,2021,ARTICLE,10.9771/cp.v14i1.30741,pt,Cadernos De Prospecção,B2,23170026.0,,,,,,,['Marcio Luis Valença Araújo'],programa ideia inovadoro de o ifba proposicao melhoria basear criterio avaliacao
Produção De Patentes Na Região Nordeste: Um Estudo Comparativo Entre Instituições De Ensino Superior Públicas No Período De 2002 A 2012,2016,ARTICLE,10.21714/2178-8030gep.v17i1.3944,pt,Gestao E Planejamento,A4,21788030.0,,,,,,,"['Marcio Luis Valença Araújo', 'Hugo Saba Pereira Cardoso']",producao patente em o regiao nordeste estudo comparativo instituicoe ensino superior publico periodo
Face Shield For Life 3d: Produção Colaborativa Usando A Comunidade De Makers Dos Protetores Faciais Padrão Rc3 Parao Profissionais De Saúde Em Salvador,2020,ARTICLE,10.9771/cp.v13i2%20COVID-19.36174,pt,Cadernos De Prospecção,B2,23170026.0,,,,,,,['Marcio Luis Valença Araújo'],face shieldr lifer producao colaborativar usar comunidade makers de o protetor facial padrao parao profissional saude salvador
Mapeamento Científico E Tecnológico Sobre Impressão 3d,2023,ARTICLE,10.53660/1091.prw2640,pt,Peer Review,A3,15411389.0,,,,,,,"['Marcio Luis Valença Araújo', 'Hugo Saba Pereira Cardoso', 'Eduardo Manuel de Freitas Jorge', 'Aloisio Santos Nascimento Filho']",mapeamento cientifico tecnologico sobre impressao
A Utilização Do Concreto Estrutural Com Adição De Fibras Não Metálicas Na Construção Civil: Uma Prospecção Tecnológica,2023,ARTICLE,10.9771/cp.v16i3.50293,pt,Cadernos De Prospecção,B2,19831358.0,,,,,,,['Marcio Luis Valença Araújo'],utilizacao de o concreto estrutural adicao fibra nao metalica em o construcao civil prospeccao tecnologico
Solução Computacional De Apoio À Vigilância Epidemiológica No Enfrentamento À Pandemia Da Covid-19 Na Bahia,2021,ARTICLE,10.22278/2318-2660.2021.v45.NEspecial_1.a32,pt,Revista Baiana De Saúde Pública (online),B2,23182660.0,,,,,,,['Marcio Luis Valença Araújo'],solucao computacional apoio vigilancia epidemiologico em o enfrentamento pandemia de o covid bahia
"Gestão Da Inovação Na Administração Pública Federal: Relexões Sobre Os Caminhos, As Barreiras E As Perspectivas",2020,ARTICLE,10.9771/cp.v13i5.35146,pt,Cadernos De Prospecção,B2,23170026.0,,,,,,,['Marcio Luis Valença Araújo'],gestao de o inovacao em o administracao publico federal relexoes sobre caminho barreira perspectiva
Desenvolvimento Sustentável: Uma Proposta Para Descarbonização De Frotas De Veículos,2023,ARTICLE,10.7769/gesec.v14i4.1944,pt,Revista De Gestão E Secretariado,A4,21789010.0,,,,,,,"['Marcio Luis Valença Araújo', 'Hugo Saba Pereira Cardoso', 'Toni Alex Reis Borges', 'Eduardo Manuel de Freitas Jorge', 'Aloisio Santos Nascimento Filho']",desenvolvimento sustentavel proposta descarbonizacao frota veiculo
Systemic Arterial Hypertension: Treatment With Integrative And Complementary Health Practices,2020,ARTICLE,10.33448/rsd-v9i11.10156,pt,"Research, Society And Development",C,25253409.0,,,,,,,"['Marcio Luis Valença Araújo', 'Hugo Saba Pereira Cardoso', 'Eduardo Manuel de Freitas Jorge']",systemic arterial hypertension treatment integrative complementary health practice
Estudo Da Aplicação De Algoritmos De Machine Learning Na Manutenção Preditiva De Motores Elétricos,2023,ARTICLE,10.7769/gesec.v14i10.2754,pt,Revista De Gestão E Secretariado,A4,21789010.0,,,,,,,"['Marcio Luis Valença Araújo', 'Hugo Saba Pereira Cardoso', 'Aloisio Santos Nascimento Filho']",estudo de o aplicacao algoritmos machine learning em o manutencao preditivo motor eletrico
Logística Reversa Orientada Para A Inovação Nas Micro E Pequenas Empresas: Um Estudo Exploratório,2019,ARTICLE,10.9771/cp.v12i5 Especial.34453,pt,Cadernos De Prospecção,B2,19831358.0,,,,,,,['Marcio Luis Valença Araújo'],logisticar reverso orientar inovacao em o micro pequeno empresa estudo exploratorio
Inteligência Artificial Em Ambientes Virtuais De Ensino E Aprendizagem: Uma Proposta De Modelo,2021,ARTICLE,10.33448/rsd-v10i4.13855,pt,"Research, Society And Development",C,25253409.0,,,,,,,"['Marcio Luis Valença Araújo', 'Hugo Saba Pereira Cardoso', 'Eduardo Manuel de Freitas Jorge']",inteligencia artificial ambiente virtual ensino aprendizagem proposta modelo
Programa Pesquisa Para O Sus (ppsus): Caracterização Dos Projetos Financiados Do Estado Da Bahia,2023,ARTICLE,10.55905/oelv21n4-012,pt,Observatorio De La Economía Latinoamericana,A4,16968352.0,,,,,,,['Marcio Luis Valença Araújo'],programa pesquisa sus ppsus caracterizacao de o projeto financiar estado bahia
Diagnóstico Do Potencial De Indicação Geográfica Da Carne De Fumeiro De Maragogipe-Bahia Sob A Ótica Da Metodologia Do Sebrae,2023,ARTICLE,10.7769/gesec.v14i11.3173,pt,Revista De Gestão E Secretariado,A4,21789010.0,,,,,,,['Marcio Luis Valença Araújo'],diagnostico de o potencial indicacao geografico carne fumeiro maragogipe bahio sob otica metodologia sebrae
